Proj no.;TO no.;Coil no.;Sample no.;WS;Brazed;Depth [μm];Unit;Al;Si;Fe;Cu;Mn;Mg;Cr;Ni-L;Ni-H;Zn;Ti;B;Be;Bi;Ca;Cd;Ga;Hg;In;Li;Na;P;Pb;Sn;Sr;V;Zr;
G17-0054;432431;S02798;P18-00305BL;0;1;14,9469;m%;97,5;1,684;0,102;0,1;0,538;0,011;0,002;0,004;0;0,007;0,012;0,0007;0;0;0;0;0,015;0,0006;0;0;0,0003;0,002;0,001;0;0;0,013;0,026;-713,7006357
G17-0054;432431;S02798;P18-00305BL;0;1;15,0794;m%;97,48;1,688;0,103;0,1;0,551;0,011;0,002;0,004;0;0,007;0,012;0,0005;0;0;0;0;0,013;0,0001;0;0;0,0002;0,002;0,004;0,005;0,0002;0,015;0,025;-713,7747756
G17-0054;432431;S02798;P18-00305BL;0;1;15,231;m%;97,44;1,69;0,107;0,1;0,57;0,009;0,002;0,005;0;0,008;0,014;0,0005;0;0;0;0;0,014;0,0002;0;0;0,0002;0,0019;0,011;0,011;0,0002;0,012;0,029;-713,8598978
G17-0054;432431;S02798;P18-00305BL;0;1;15,3827;m%;97,44;1,68;0,11;0,1;0,593;0,01;0,001;0,006;0;0,007;0,013;0,0006;0;0;0;0;0,015;0,0003;0;0;0,0002;0,002;0,003;0,001;0,0001;0,014;0,026;-713,9453368
G17-0054;432431;S02798;P18-00305BL;0;1;15,5156;m%;97,43;1,679;0,11;0,1;0,611;0,009;0,001;0,006;0;0,005;0,012;0,0006;0;0;0,0001;0;0,015;0,0004;0;0;0,0003;0,002;0,003;0,001;0,0001;0,013;0,027;-714,0203579
G17-0054;432431;S02798;P18-00305BL;0;1;15,6675;m%;97,38;1,682;0,107;0,1;0,633;0,01;0,001;0,006;0;0,007;0,014;0,0008;0;0;0,0001;0;0,016;0;0;0;0,0003;0,002;0,015;0,004;0,0001;0,012;0,028;-714,1062497
G17-0054;432431;S02798;P18-00305BL;0;1;15,8193;m%;97,35;1,688;0,11;0,1;0,653;0,012;0,001;0,004;0;0,005;0,014;0,0006;0;0;0;0;0,014;0,0005;0;0;0,0002;0,002;0,011;0,005;0;0,014;0,035;-714,1921877
G17-0054;432431;S02798;P18-00305BL;0;1;15,9523;m%;97,31;1,7;0,115;0,1;0,674;0,011;0,001;0,005;0;0,006;0,014;0,0005;0;0,001;0;0;0,014;0,0001;0;0;0,0002;0,002;0,004;0,01;0,0002;0,013;0,04;-714,2675249
G17-0054;432431;S02798;P18-00305BL;0;1;16,1042;m%;97,3;1,695;0,118;0,1;0,69;0,013;0,001;0,006;0;0,007;0,014;0,0009;0,0001;0;0;0;0,014;0;0;0;0,0003;0,002;0,009;0,001;0,0002;0,013;0,04;-714,3535689
G17-0054;432431;S02798;P18-00305BL;0;1;16,2562;m%;97,29;1,684;0,12;0,1;0,709;0,012;0,001;0,005;0;0,009;0,015;0,0009;0;0;0,0001;0;0,014;0,0012;0;0;0,0002;0,002;0,003;0,002;0,0001;0,014;0,039;-714,4396209
G17-0054;432431;S02798;P18-00305BL;0;1;16,3895;m%;97,25;1,683;0,125;0,1;0,726;0,013;0,001;0,005;0;0,008;0,015;0,0014;0;0;0,0001;0;0,016;0,0001;0;0;0,0002;0,002;0,01;0,013;0,0002;0,014;0,043;-714,5150057
G17-0054;432431;S02798;P18-00305BL;0;1;16,5417;m%;97,22;1,703;0,126;0,1;0,749;0,011;0,001;0,005;0;0,006;0,017;0,0012;0;0;0,0001;0;0,014;0;0;0;0,0001;0,002;0,01;0,006;0,0001;0,013;0,04;-714,6009415
G17-0054;432431;S02798;P18-00305BL;0;1;16,6749;m%;97,2;1,702;0,13;0,1;0,768;0,011;0,002;0,005;0;0,006;0,016;0,001;0,0001;0;0;0;0,013;0;0;0;0,0002;0,002;0,009;0,007;0,0002;0,014;0,042;-714,6759918
G17-0054;432431;S02798;P18-00305BL;0;1;16,8271;m%;97,19;1,694;0,125;0,1;0,787;0,011;0,002;0,006;0;0,006;0,018;0,0013;0;0;0;0;0,013;0,0005;0;0;0,0002;0,0019;0,012;0,001;0,0001;0,012;0,044;-714,7615233
G17-0054;432431;S02798;P18-00305BL;0;1;16,9794;m%;97,18;1,681;0,131;0,1;0,802;0,01;0,001;0,006;0;0,005;0,018;0,0011;0;0;0;0;0,015;0,0001;0;0;0,0003;0,0019;0,009;0,001;0;0,012;0,046;-714,8468254
G17-0054;432431;S02798;P18-00305BL;0;1;17,1128;m%;97,17;1,683;0,131;0,1;0,818;0,009;0,001;0,005;0;0,006;0,02;0,001;0;0;0;0;0,015;0;0;0;0,0002;0,002;0,001;0,001;0,0001;0,013;0,042;-714,9212696
G17-0054;432431;S02798;P18-00305BL;0;1;17,2652;m%;97,16;1,678;0,128;0,1;0,837;0,008;0,001;0,005;0;0,008;0,016;0,0011;0;0;0;0;0,015;0;0;0;0,0003;0,0019;0,004;0,005;0,0001;0,012;0,046;-715,0059639
G17-0054;432431;S02798;P18-00305BL;0;1;17,4175;m%;97,11;1,691;0,132;0,1;0,857;0,01;0,001;0,005;0;0,008;0,016;0,0008;0;0;0;0;0,014;0,0004;0;0;0,0003;0,0019;0,008;0,007;0,0001;0,013;0,051;-715,0901825
G17-0054;432431;S02798;P18-00305BL;0;1;17,551;m%;97,09;1,686;0,136;0,1;0,87;0,01;0,001;0,005;0;0,006;0,017;0,001;0;0;0;0;0,015;0;0;0;0,0002;0,0019;0,018;0,003;0,0001;0,013;0,052;-715,1636241
G17-0054;432431;S02798;P18-00305BL;0;1;17,7035;m%;97,06;1,671;0,143;0,1;0,897;0,01;0,001;0,005;0;0,006;0,016;0,0012;0;0;0,0001;0;0,014;0,0005;0;0;0,0003;0,0019;0,014;0,009;0,0001;0,011;0,055;-715,2470424
G17-0054;432431;S02798;P18-00305BL;0;1;17,8372;m%;97,04;1,683;0,139;0,1;0,911;0,011;0,001;0,005;0;0,005;0,018;0,001;0;0;0;0;0,014;0,0003;0;0;0,0003;0,002;0,018;0,006;0;0,014;0,056;-715,3197268
G17-0054;432431;S02798;P18-00305BL;0;1;17,99;m%;97;1,694;0,143;0,1;0,933;0,012;0,001;0,005;0;0,006;0,016;0,0008;0,0001;0,001;0;0;0,013;0;0;0;0,0003;0,002;0,016;0,009;0,0001;0,014;0,058;-715,4022407
G17-0054;432431;S02798;P18-00305BL;0;1;18,1429;m%;96,96;1,713;0,142;0,1;0,955;0,012;0,001;0,005;0;0,008;0,017;0,0009;0;0;0,0001;0;0,014;0,0002;0;0;0,0003;0,002;0,017;0,005;0;0,013;0,059;-715,4841763
G17-0054;432431;S02798;P18-00305BL;0;1;18,2767;m%;96,93;1,709;0,148;0,1;0,971;0,011;0,001;0,004;0;0,007;0,018;0,0006;0;0,001;0;0;0,014;0,0012;0;0;0,0002;0,002;0,02;0,011;0;0,013;0,059;-715,5553248
G17-0054;432431;S02798;P18-00305BL;0;1;18,4296;m%;96,92;1,691;0,152;0,1;0,993;0,009;0,001;0,005;0;0,006;0,02;0,0007;0;0;0,0001;0;0,012;0;0;0;0,0002;0,0019;0,019;0,014;0,0001;0,012;0,063;-715,6359623
G17-0054;432431;S02798;P18-00305BL;0;1;18,5635;m%;96,91;1,679;0,155;0,1;1,013;0,01;0,001;0,005;0;0,006;0,018;0,001;0;0;0,0001;0;0,013;0,0002;0;0;0,0002;0,002;0,016;0,01;0;0,011;0,064;-715,7059642
G17-0054;432431;S02798;P18-00305BL;0;1;18,7164;m%;96,87;1,706;0,155;0,1;1,031;0,011;0,001;0,005;0;0,01;0,017;0,0012;0;0;0,0001;0;0,013;0,0002;0;0;0,0002;0,0019;0,013;0,014;0,0001;0,01;0,06;-715,7851612
G17-0054;432431;S02798;P18-00305BL;0;1;18,8504;m%;96,83;1,711;0,155;0,1;1,056;0,011;0,001;0,006;0;0,01;0,017;0,0014;0;0;0,0001;0;0,014;0;0;0;0,0004;0,002;0,017;0,009;0,0001;0,01;0,065;-715,8538922
G17-0054;432431;S02798;P18-00305BL;0;1;19,0037;m%;96,83;1,688;0,162;0,1;1,075;0,01;0,001;0,006;0;0,007;0,02;0,0007;0;0,001;0,0001;0;0,015;0,0004;0;0;0,0004;0,002;0,011;0,01;0;0,015;0,066;-715,9317131
G17-0054;432431;S02798;P18-00305BL;0;1;19,1569;m%;96,8;1,704;0,163;0,1;1,095;0,01;0,001;0,006;0;0,008;0,021;0,0011;0;0;0,0001;0;0,015;0,0006;0;0;0,0003;0,0019;0,014;0,002;0;0,014;0,064;-716,0085842
G17-0054;432431;S02798;P18-00305BL;0;1;19,2911;m%;96,75;1,716;0,164;0,1;1,115;0,011;0,001;0,006;0;0,007;0,02;0,0014;0;0;0,0001;0;0,014;0;0;0;0,0003;0,0019;0,019;0,009;0,0001;0,013;0,067;-716,0751541
G17-0054;432431;S02798;P18-00305BL;0;1;19,4445;m%;96,72;1,725;0,168;0,1;1,136;0,01;0,001;0,005;0;0,006;0,02;0,0014;0;0,001;0;0;0,013;0;0;0;0,0002;0,0019;0,016;0,016;0,0001;0,011;0,068;-716,1503375
G17-0054;432431;S02798;P18-00305BL;0;1;19,5789;m%;96,69;1,714;0,168;0,1;1,158;0,012;0,001;0,006;0;0,006;0,02;0,0014;0;0,002;0;0;0,013;0;0;0;0,0003;0,0019;0,021;0,019;0;0,01;0,074;-716,2153835
G17-0054;432431;S02798;P18-00305BL;0;1;19,7322;m%;96,69;1,711;0,176;0,1;1,173;0,009;0,001;0,006;0;0,007;0,021;0,0012;0;0;0,0001;0;0,013;0,0006;0;0;0,0002;0,0019;0,016;0,005;0;0,012;0,068;-716,2886041
G17-0054;432431;S02798;P18-00305BL;0;1;19,8664;m%;96,65;1,722;0,174;0,1;1,193;0,012;0,001;0,005;0;0,007;0,022;0,0014;0;0,003;0;0;0,013;0,0004;0;0;0,0003;0,0019;0,018;0,012;0;0,014;0,072;-716,3518255
G17-0054;432431;S02798;P18-00305BL;0;1;20,0199;m%;96,63;1,722;0,176;0,1;1,211;0,011;0,001;0,006;0;0,007;0,02;0,0014;0;0,001;0;0;0,014;0;0;0;0,0002;0,0019;0,027;0;0;0,011;0,073;-716,4231058
G17-0054;432431;S02798;P18-00305BL;0;1;20,1735;m%;96,59;1,734;0,172;0,1;1,237;0,009;0,001;0,005;0;0,007;0,021;0,0012;0;0;0;0;0,015;0;0;0;0,0002;0,0019;0,029;0,008;0;0,01;0,076;-716,4932972
G17-0054;432431;S02798;P18-00305BL;0;1;20,3078;m%;96,58;1,709;0,179;0,1;1,259;0,012;0,001;0,005;0;0,01;0,022;0,0012;0;0;0,0001;0;0,012;0;0;0;0,0003;0,0019;0,023;0,007;0;0,013;0,083;-716,553713
G17-0054;432431;S02798;P18-00305BL;0;1;20,4614;m%;96,55;1,734;0,187;0,1;1,267;0,011;0,001;0,004;0;0,008;0,023;0,0011;0;0;0;0;0,013;0;0;0;0,0002;0,0019;0,018;0,001;0;0,013;0,081;-716,6216893
G17-0054;432431;S02798;P18-00305BL;0;1;20,5959;m%;96,53;1,737;0,181;0,1;1,285;0,01;0,001;0,005;0;0,006;0,023;0,0013;0;0;0;0;0,011;0,0004;0;0;0,0002;0,0019;0,024;0,004;0,0001;0,013;0,083;-716,6802065
G17-0054;432431;S02798;P18-00305BL;0;1;20,7497;m%;96,5;1,741;0,184;0,1;1,302;0,011;0,001;0,006;0;0,007;0,022;0,0013;0;0,001;0;0;0,012;0,0003;0;0;0,0002;0,0019;0,026;0,001;0;0,011;0,081;-716,7459419
G17-0054;432431;S02798;P18-00305BL;0;1;20,8843;m%;96,47;1,745;0,19;0,1;1,319;0,011;0,001;0,005;0;0,005;0,022;0,0013;0;0;0;0;0,013;0;0;0;0,0003;0,0019;0,027;0,007;0;0,012;0,083;-716,8024168
G17-0054;432431;S02798;P18-00305BL;0;1;21,0381;m%;96,46;1,749;0,187;0,1;1,331;0,011;0,001;0,005;0;0,008;0,024;0,0011;0;0;0,0001;0;0,012;0,0004;0;0;0,0003;0,0019;0,024;0,003;0;0,012;0,08;-716,8657168
G17-0054;432431;S02798;P18-00305BL;0;1;21,1727;m%;96,44;1,749;0,185;0,1;1,348;0,011;0,001;0,006;0;0,008;0,021;0,0013;0;0;0,0001;0;0,013;0,0015;0;0;0,0003;0,002;0,024;0,005;0;0,012;0,089;-716,920016
G17-0054;432431;S02798;P18-00305BL;0;1;21,3265;m%;96,44;1,729;0,188;0,1;1,359;0,008;0,001;0,006;0;0,007;0,022;0,0012;0;0,001;0;0;0,013;0,0011;0;0;0,0002;0,0019;0,022;0,013;0;0,012;0,086;-716,9807806
G17-0054;432431;S02798;P18-00305BL;0;1;21,4612;m%;96,42;1,733;0,19;0,1;1,373;0,008;0,001;0,006;0;0,006;0,023;0,0011;0,0001;0;0;0;0,014;0,0005;0;0;0,0001;0,0019;0,033;0,012;0;0,014;0,081;-717,0328569
G17-0054;432431;S02798;P18-00305BL;0;1;21,615;m%;96,42;1,74;0,189;0,1;1,371;0,01;0,001;0,005;0;0,006;0,023;0,0012;0;0,001;0;0;0,014;0,0005;0;0;0,0003;0,0019;0,025;0,006;0;0,013;0,082;-717,0909897
G17-0054;432431;S02798;P18-00305BL;0;1;21,7689;m%;96,39;1,737;0,191;0,1;1,391;0,012;0,001;0,005;0;0,006;0,024;0,0013;0;0;0,0001;0;0,013;0,0003;0;0;0,0003;0,0019;0,035;0,001;0;0,012;0,089;-717,1477184
G17-0054;432431;S02798;P18-00305BL;0;1;21,9037;m%;96,37;1,746;0,188;0,1;1,41;0,009;0,001;0,005;0;0,007;0,024;0,0014;0,0001;0;0;0;0,013;0,0008;0;0;0,0002;0,0019;0,035;0,005;0;0,012;0,088;-717,1962019
G17-0054;432431;S02798;P18-00305BL;0;1;22,0575;m%;96,38;1,729;0,192;0,1;1,412;0,012;0,001;0,006;0;0,006;0,024;0,0015;0;0;0;0;0,012;0,0011;0;0;0,0004;0,0019;0,028;0,012;0;0,012;0,088;-717,2501228
G17-0054;432431;S02798;P18-00305BL;0;1;22,1922;m%;96,38;1,723;0,19;0,1;1,42;0,011;0,001;0,005;0;0,006;0,024;0,0016;0;0;0;0;0,012;0,0003;0;0;0,0003;0,0019;0,028;0,009;0;0,011;0,092;-717,2961069
G17-0054;432431;S02798;P18-00305BL;0;1;22,3461;m%;96,35;1,729;0,193;0,1;1,428;0,011;0,001;0,006;0;0,006;0,023;0,0013;0;0,001;0;0;0,011;0,0003;0;0;0,0003;0,002;0,027;0,009;0;0,012;0,092;-717,3472067
G17-0054;432431;S02798;P18-00305BL;0;1;22,4809;m%;96,34;1,732;0,194;0,1;1,437;0,01;0,001;0,006;0;0,006;0,023;0,0013;0,0001;0,002;0;0;0,012;0;0;0;0,0003;0,002;0,025;0,009;0,0001;0,011;0,092;-717,3906868
G17-0054;432431;S02798;P18-00305BL;0;1;22,6348;m%;96,32;1,74;0,194;0,1;1,45;0,01;0,001;0,006;0;0,006;0,026;0,0015;0;0;0;0;0,014;0;0;0;0,0004;0,002;0,031;0,004;0;0,013;0,095;-717,4388488
G17-0054;432431;S02798;P18-00305BL;0;1;22,7694;m%;96,33;1,727;0,193;0,1;1,456;0,009;0,001;0,006;0;0,007;0,025;0,0015;0;0;0,0001;0;0,014;0;0;0;0,0004;0,0019;0,032;0,001;0;0,012;0,092;-717,4796622
G17-0054;432431;S02798;P18-00305BL;0;1;22,9233;m%;96,31;1,725;0,193;0,1;1,474;0,01;0,001;0,006;0;0,008;0,024;0,0013;0;0;0,0001;0;0,014;0,0002;0;0;0,0003;0,0019;0,028;0,004;0;0,011;0,098;-717,5248126
G17-0054;432431;S02798;P18-00305BL;0;1;23,058;m%;96,29;1,726;0,196;0,1;1,484;0,01;0,001;0,005;0;0,007;0,024;0,0014;0,0001;0,002;0,0001;0;0,014;0,0002;0;0;0,0001;0,0019;0,022;0,008;0;0,011;0,099;-717,5629881
G17-0054;432431;S02798;P18-00305BL;0;1;23,2118;m%;96,3;1,717;0,193;0,1;1,491;0,009;0,001;0,005;0;0,01;0,026;0,0015;0;0,002;0;0;0,011;0,0004;0;0;0,0002;0,0019;0,019;0,005;0;0,011;0,097;-717,6050272
G17-0054;432431;S02798;P18-00305BL;0;1;23,3465;m%;96,28;1,724;0,202;0,1;1,498;0,011;0;0,006;0;0,008;0,027;0,0013;0;0;0;0;0,011;0,0009;0;0;0,0003;0,002;0,031;0,001;0;0,011;0,095;-717,640474
G17-0054;432431;S02798;P18-00305BL;0;1;23,5003;m%;96,25;1,74;0,2;0,1;1,508;0,01;0,001;0,005;0;0,007;0,024;0,0014;0;0;0;0;0,012;0,0005;0;0;0,0002;0,0019;0,032;0,003;0;0,012;0,098;-717,6793641
G17-0054;432431;S02798;P18-00305BL;0;1;23,6541;m%;96,25;1,72;0,2;0,1;1,521;0,011;0,001;0,005;0;0,008;0,022;0,0012;0;0,001;0,0001;0;0,012;0,0004;0;0;0,0002;0,0019;0,022;0,014;0;0,011;0,097;-717,7165493
G17-0054;432431;S02798;P18-00305BL;0;1;23,7888;m%;96,24;1,723;0,195;0,1;1,53;0,011;0,001;0,006;0;0,004;0,025;0,0012;0,0001;0;0,0001;0;0,012;0,0012;0;0;0,0003;0,0019;0,026;0,022;0;0,01;0,101;-717,7477023
G17-0054;432431;S02798;P18-00305BL;0;1;23,9427;m%;96,21;1,738;0,207;0,1;1,539;0,011;0,001;0,006;0;0,008;0,024;0,0011;0;0;0;0;0,013;0,0014;0;0;0,0003;0,0019;0,03;0,002;0;0,011;0,098;-717,7816641
G17-0054;432431;S02798;P18-00305BL;0;1;24,0773;m%;96,21;1,713;0,21;0,1;1,545;0,013;0,001;0,006;0;0,006;0,025;0,0009;0,0001;0,002;0;0;0,013;0,0002;0;0;0,0004;0,002;0,035;0,006;0;0,013;0,1;-717,809928
G17-0054;432431;S02798;P18-00305BL;0;1;24,2312;m%;96,19;1,73;0,206;0,1;1,559;0,01;0,001;0,006;0;0,006;0,024;0,001;0,0001;0;0;0;0,013;0,0006;0;0;0,0002;0,0019;0,031;0,007;0;0,012;0,099;-717,8405852
G17-0054;432431;S02798;P18-00305BL;0;1;24,3658;m%;96,18;1,733;0,208;0,1;1,56;0,01;0,001;0,006;0;0,008;0,025;0,0011;0;0;0,0001;0;0,013;0;0;0;0,0002;0,0019;0,03;0,007;0;0,012;0,103;-717,8659349
G17-0054;432431;S02798;P18-00305BL;0;1;24,5197;m%;96,2;1,715;0,21;0,1;1,564;0,013;0,001;0,006;0;0,009;0,026;0,0015;0;0;0;0;0,011;0;0;0;0,0003;0,002;0,023;0,012;0;0,012;0,1;-717,8932337
G17-0054;432431;S02798;P18-00305BL;0;1;24,6543;m%;96,21;1,707;0,21;0,1;1,567;0,011;0,001;0,006;0;0,01;0,023;0,0011;0;0;0,0001;0;0,01;0,0007;0;0;0,0002;0,0019;0,029;0,001;0;0,013;0,098;-717,9156238
G17-0054;432431;S02798;P18-00305BL;0;1;24,8081;m%;96,18;1,719;0,21;0,1;1,572;0,011;0,001;0,005;0;0,008;0,023;0,0011;0;0,002;0,0001;0;0,011;0,0008;0;0;0,0002;0,0019;0,031;0,006;0;0,011;0,103;-717,9394991
G17-0054;432431;S02798;P18-00305BL;0;1;24,9428;m%;96,18;1,699;0,214;0,1;1,58;0,011;0,001;0,006;0;0,007;0,025;0,0013;0;0,003;0,0001;0;0,012;0,0021;0;0;0,0004;0,0019;0,037;0,004;0;0,011;0,105;-717,9589023
G17-0054;432431;S02798;P18-00305BL;0;1;25,0966;m%;96,19;1,706;0,208;0,1;1,583;0,01;0,001;0,006;0;0,006;0,025;0,0014;0;0,001;0,0001;0;0,012;0,0021;0;0;0,0005;0,0019;0,039;0;0;0,013;0,097;-717,9793249
G17-0054;432431;S02798;P18-00305BL;0;1;25,2502;m%;96,2;1,691;0,211;0,1;1,576;0,01;0,001;0,006;0;0,009;0,027;0,0016;0;0;0;0;0,012;0,0007;0;0;0,0003;0,0019;0,03;0,013;0;0,012;0,098;-717,9978662
G17-0054;432431;S02798;P18-00305BL;0;1;25,3847;m%;96,18;1,702;0,215;0,1;1,58;0,011;0,001;0,006;0;0,007;0,026;0,0015;0;0,001;0;0;0,011;0,0001;0;0;0,0004;0,0019;0,03;0,012;0;0,01;0,104;-718,0125707
G17-0054;432431;S02798;P18-00305BL;0;1;25,5384;m%;96,17;1,704;0,216;0,1;1,588;0,013;0;0,006;0;0,005;0,025;0,0015;0;0;0,0001;0;0,014;0;0;0;0,0004;0,0019;0,029;0,005;0;0,011;0,11;-718,0276139
G17-0054;432431;S02798;P18-00305BL;0;1;25,673;m%;96,17;1,71;0,213;0,1;1,593;0,011;0,001;0,006;0;0,006;0,026;0,0012;0;0;0,0001;0;0,011;0;0;0;0,0003;0,0019;0,03;0,014;0;0,01;0,097;-718,0392375
G17-0054;432431;S02798;P18-00305BL;0;1;25,8267;m%;96,17;1,692;0,212;0,1;1,595;0,011;0;0,006;0;0,007;0,025;0,0014;0;0;0;0;0,011;0,0002;0;0;0,0003;0,0019;0,037;0,011;0;0,011;0,1;-718,0507314
G17-0054;432431;S02798;P18-00305BL;0;1;25,9612;m%;96,19;1,684;0,215;0,1;1,597;0,01;0,001;0,006;0;0,007;0,025;0,0016;0;0;0;0;0,01;0;0;0;0,0002;0,0019;0,023;0,008;0;0,013;0,1;-718,0592259
G17-0054;432431;S02798;P18-00305BL;0;1;26,1149;m%;96,16;1,682;0,214;0,1;1,602;0,013;0,001;0,006;0;0,008;0,025;0,0012;0;0,001;0,0001;0;0,012;0,0011;0;0;0,0004;0,0019;0,03;0,019;0;0,012;0,104;-718,0671378
G17-0054;432431;S02798;P18-00305BL;0;1;26,2496;m%;96,16;1,679;0,216;0,1;1,61;0,011;0,001;0,005;0;0,007;0,025;0,0013;0;0,001;0;0;0,012;0,0004;0;0;0,0003;0,0019;0,034;0,009;0;0,01;0,11;-718,072491
G17-0054;432431;S02798;P18-00305BL;0;1;26,4033;m%;96,16;1,681;0,212;0,1;1,618;0,011;0,001;0,005;0;0,009;0,027;0,0013;0;0,001;0;0;0,013;0,0008;0;0;0,0004;0,002;0,03;0,013;0;0,012;0,1;-718,0767881
G17-0054;432431;S02798;P18-00305BL;0;1;26,5571;m%;96,17;1,676;0,217;0,1;1,62;0,01;0,001;0,005;0;0,009;0,025;0,0011;0;0;0,0001;0;0,013;0,0004;0;0;0,0004;0,002;0,03;0,005;0;0,011;0,099;-718,0791482
G17-0054;432431;S02798;P18-00305BL;0;1;26,6916;m%;96,16;1,678;0,214;0,1;1,615;0,012;0,001;0,005;0;0,007;0,025;0,0013;0;0,002;0,0001;0;0,012;0,0003;0;0;0,0004;0,002;0,03;0,005;0;0,011;0,103;-718,079616
G17-0054;432431;S02798;P18-00305BL;0;1;26,8452;m%;96,15;1,681;0,216;0,1;1,616;0,011;0,001;0,005;0;0,008;0,027;0,0015;0;0,001;0,0001;0;0,011;0,0007;0;0;0,0004;0,0019;0,034;0,006;0;0,011;0,104;-718,0783228
G17-0054;432431;S02798;P18-00305BL;0;1;26,9795;m%;96,13;1,682;0,218;0,1;1,63;0,011;0,001;0,005;0;0,009;0,026;0,0014;0;0,001;0;0;0,013;0,0008;0;0;0,0003;0,0019;0,027;0,015;0;0,012;0,105;-718,0755904
G17-0054;432431;S02798;P18-00305BL;0;1;27,133;m%;96,16;1,656;0,215;0,1;1,625;0,01;0,001;0,005;0;0,005;0,025;0,002;0;0;0,0001;0;0,013;0,0001;0;0;0,0003;0,002;0,032;0,016;0;0,013;0,104;-718,0706322
G17-0054;432431;S02798;P18-00305BL;0;1;27,2673;m%;96,14;1,672;0,214;0,1;1,627;0,01;0;0,006;0;0,006;0,026;0,0018;0;0,001;0;0;0,012;0;0;0;0,0004;0,0019;0,039;0,014;0;0,01;0,102;-718,0646845
G17-0054;432431;S02798;P18-00305BL;0;1;27,421;m%;96,16;1,663;0,214;0,1;1,623;0,01;0,001;0,007;0;0,008;0,027;0,0013;0;0,004;0,0001;0;0,012;0;0;0;0,0003;0,002;0,028;0,009;0;0,011;0,109;-718,0560296
G17-0054;432431;S02798;P18-00305BL;0;1;27,5555;m%;96,14;1,672;0,217;0,1;1,625;0,011;0,001;0,006;0;0,006;0,025;0,0014;0;0;0,0001;0;0,012;0,0009;0;0;0,0002;0,0019;0,036;0,014;0;0,011;0,106;-718,0468341
G17-0054;432431;S02798;P18-00305BL;0;1;27,7089;m%;96,17;1,641;0,216;0,1;1,628;0,01;0,001;0,006;0;0,007;0,026;0,0011;0;0;0,0001;0;0,012;0,0004;0;0;0,0003;0,0019;0,028;0,01;0;0,012;0,11;-718,0344952
G17-0054;432431;S02798;P18-00305BL;0;1;27,8624;m%;96,17;1,645;0,214;0,1;1,632;0,011;0,001;0,006;0;0,009;0,027;0,0013;0;0,003;0,0001;0;0,012;0;0;0;0,0003;0,0019;0,031;0,006;0;0,01;0,106;-718,0201698
G17-0054;432431;S02798;P18-00305BL;0;1;27,9968;m%;96,17;1,638;0,212;0,1;1,636;0,011;0,001;0,006;0;0,008;0,025;0,0012;0;0,002;0,0001;0;0,012;0,0005;0;0;0,0004;0,002;0,036;0,005;0;0,011;0,107;-718,0059995
G17-0054;432431;S02798;P18-00305BL;0;1;28,1503;m%;96,14;1,637;0,211;0,1;1,641;0,011;0,001;0,006;0;0,009;0,029;0,0017;0,0001;0,001;0;0;0,011;0,0013;0;0;0,0003;0,002;0,042;0,01;0;0,012;0,111;-717,9879539
G17-0054;432431;S02798;P18-00305BL;0;1;28,2846;m%;96,15;1,648;0,215;0,1;1,642;0,012;0,001;0,006;0;0,009;0,027;0,0017;0;0;0,0001;0;0,012;0,0018;0;0;0,0003;0,002;0,034;0,01;0;0,011;0,104;-717,9705357
G17-0054;432431;S02798;P18-00305BL;0;1;28,4382;m%;96,15;1,642;0,217;0,1;1,639;0,012;0,001;0,006;0;0,009;0,024;0,0015;0;0,002;0,0001;0;0,012;0,0002;0;0;0,0005;0,0019;0,035;0,015;0;0,013;0,103;-717,9487478
G17-0054;432431;S02798;P18-00305BL;0;1;28,5726;m%;96,16;1,641;0,215;0,1;1,641;0,013;0,001;0,006;0;0,006;0,024;0,0015;0;0,005;0,0001;0;0,011;0,0009;0;0;0,0004;0,0019;0,029;0,007;0;0,011;0,102;-717,9280485
G17-0054;432431;S02798;P18-00305BL;0;1;28,7262;m%;96,17;1,631;0,215;0,1;1,637;0,011;0;0,006;0;0,007;0,026;0,0016;0;0,003;0,0002;0;0,011;0,0008;0;0;0,0003;0,002;0,035;0,007;0;0,012;0,105;-717,9025224
G17-0054;432431;S02798;P18-00305BL;0;1;28,8606;m%;96,17;1,612;0,217;0,1;1,649;0,011;0,001;0,006;0;0,01;0,027;0,0014;0;0,001;0,0001;0;0,012;0,0002;0;0;0,0004;0,002;0,033;0,007;0;0,012;0,106;-717,8785505
G17-0054;432431;S02798;P18-00305BL;0;1;29,0141;m%;96,15;1,631;0,22;0,1;1,649;0,01;0;0,006;0;0,01;0,024;0,0015;0;0,001;0,0001;0;0,011;0,0005;0;0;0,0004;0,0019;0,034;0,005;0;0,013;0,109;-717,849303
G17-0054;432431;S02798;P18-00305BL;0;1;29,1677;m%;96,14;1,628;0,219;0,1;1,662;0,009;0,001;0,006;0;0,006;0,026;0,0013;0,0001;0;0,0001;0;0,014;0,0007;0;0;0,0006;0,0019;0,033;0,007;0;0,01;0,114;-717,8180415
G17-0054;432431;S02798;P18-00305BL;0;1;29,3022;m%;96,11;1,634;0,223;0,1;1,653;0,011;0,001;0,006;0;0,008;0,029;0,0015;0;0,002;0,0001;0;0,013;0,0025;0;0;0,0004;0,0019;0,047;0,013;0;0,013;0,109;-717,7890288
